city,date,temp_day,temp_night,humidity,pop,rain,lat,lon
Mont Saint Michel,2026-01-26,7.44,8.33,85,1.0,1.45,48.6359541,-1.51146
Mont Saint Michel,2026-01-27,8.4,4.47,77,1.0,12.68,48.6359541,-1.51146
Mont Saint Michel,2026-01-28,8.37,4.23,74,0.0,0.0,48.6359541,-1.51146
Mont Saint Michel,2026-01-29,7.13,6.25,84,1.0,0.62,48.6359541,-1.51146
Mont Saint Michel,2026-01-30,9.13,7.76,87,1.0,14.44,48.6359541,-1.51146
Mont Saint Michel,2026-01-31,9.78,7.0,77,0.96,1.34,48.6359541,-1.51146
Mont Saint Michel,2026-02-01,10.6,6.13,74,1.0,6.48,48.6359541,-1.51146
Mont Saint Michel,2026-02-02,7.67,5.22,88,1.0,7.38,48.6359541,-1.51146
St Malo,2026-01-26,7.91,8.52,86,1.0,1.16,48.649518,-2.0260409
St Malo,2026-01-27,8.68,5.59,74,1.0,8.59,48.649518,-2.0260409
St Malo,2026-01-28,8.45,5.61,72,0.0,0.0,48.649518,-2.0260409
St Malo,2026-01-29,7.17,6.6,85,1.0,3.19,48.649518,-2.0260409
St Malo,2026-01-30,9.89,8.18,84,1.0,9.74,48.649518,-2.0260409
St Malo,2026-01-31,9.96,8.05,75,0.76,1.17,48.649518,-2.0260409
St Malo,2026-02-01,10.34,6.71,74,1.0,5.25,48.649518,-2.0260409
St Malo,2026-02-02,8.74,6.06,87,1.0,7.95,48.649518,-2.0260409
Bayeux,2026-01-26,7.73,7.68,84,1.0,0.73,49.2764624,-0.7024738
Bayeux,2026-01-27,8.54,3.91,75,1.0,6.4,49.2764624,-0.7024738
Bayeux,2026-01-28,8.2,3.65,71,0.0,0.0,49.2764624,-0.7024738
Bayeux,2026-01-29,7.53,4.46,72,0.0,0.0,49.2764624,-0.7024738
Bayeux,2026-01-30,9.53,7.15,76,1.0,2.17,49.2764624,-0.7024738
Bayeux,2026-01-31,9.65,6.14,79,1.0,0.78,49.2764624,-0.7024738
Bayeux,2026-02-01,10.65,5.97,74,1.0,3.45,49.2764624,-0.7024738
Bayeux,2026-02-02,7.98,6.23,78,1.0,6.03,49.2764624,-0.7024738
